index,Company,TypeName,Inches,screen_type,touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price
67,HP,Notebook,14,N/A,0,1366,768,Intel,"Celeron Dual",1.60,4,SSD,32,0,Intel," HD Graphics 400",windows,1.44,12201
68,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,4,HDD,1,0,Intel," HD Graphics 620",windows,1.90,29251
69,Asus,Gaming,17.3,"full hd display",0,1920,1080,Intel,"Core i7",2.80,12,HDD,1,0,Nvidia," GeForce GTX 1050 Ti",linux,3.00,50563
70,Microsoft,Ultrabook,13.5,"touchscreen display",1,2256,1504,Intel,"Core i5",2.50,4,SSD,128,0,Intel," HD Graphics 620",windows,1.25,58022
71,Dell,Ultrabook,13.3,"ips display",0,1920,1080,Intel,"Core i7",1.80,64,SSD,256,0,AMD," Radeon 530",windows,1.40,50882
72,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,AMD," Radeon 530",windows,2.20,46354
73,MSI,Gaming,17.3,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,Hybrid,128,1,Nvidia," GeForce GTX 1050",windows,2.70,58342
74,Acer,Notebook,14,N/A,0,1366,768,Intel,"Core i3",2.00,8,HDD,1,0,Intel," HD Graphics 520",windows,2.10,20726
75,Asus,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,8,HDD,1,0,Nvidia," GeForce GTX 1050",windows,2.20,50563
76,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,HDD,2,0,Intel," HD Graphics 620",N/A,2.20,27652
77,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,Hybrid,128,1,Intel," UHD Graphics 620",windows,2.02,45554
78,Acer,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.70,4,HDD,1,0,Nvidia," GeForce MX130",windows,2.20,28238
79,HP,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,Hybrid,128,1,Nvidia," GeForce 930MX",windows,2.50,52055
80,Dell,Ultrabook,15.6,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.88,58403
81,Apple,Ultrabook,12,"ips display",0,2304,1440,Intel,"Core i5",1.30,8,SSD,512,0,Intel," HD Graphics 615",macos,0.92,80453
82,HP,Notebook,14,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," HD Graphics 620",windows,1.63,45821
83,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,AMD,"A6-Series 9220",2.50,4,SSD,128,0,AMD," R4 Graphics",windows,2.20,21259
84,Acer,Notebook,15.6,N/A,0,1366,768,AMD,"A9-Series 9420",3.00,4,HDD,1,0,AMD," Radeon R5",windows,2.10,21046
85,Dell,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,128,1,Nvidia," GeForce GTX 1050 Ti",windows,2.65,71875
86,HP,Ultrabook,15.6,"ips display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia," GeForce GTX 940MX",windows,1.83,37243
87,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",windows,1.96,31914
88,Asus,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,128,1,Nvidia," GeForce GTX 1060",windows,2.20,77203
89,Dell,Ultrabook,13.3,"ips display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.21,87859
90,Asus,Gaming,15.6,"full hd display",0,1920,1080,AMD,"FX 9830P",3.00,8,HDD,1,0,AMD," Radeon RX 560",windows,2.45,37243
91,Acer,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,2,HDD,1,0,Nvidia," GeForce MX150",windows,2.20,36710
92,HP,Notebook,13.3,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,SSD,512,0,Intel," UHD Graphics 620",windows,1.49,63776
93,Dell,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia," GeForce GTX 1060",windows,2.65,63670
94,Asus,Ultrabook,14,"full hd display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,Intel," HD Graphics 620",windows,1.25,55891
95,Acer,"2 in 1 Convertible",13.3,"ips display",1,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.50,45128
96,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.70,8,HDD,1,0,AMD," Radeon R5 M430",linux,2.20,31963
97,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,SSD,256,0,AMD," Radeon R5 M430",linux,2.20,25841
98,Asus,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.40,6,SSD,256,0,Nvidia," GeForce 920M",windows,2.00,30743
99,HP,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,12,Hybrid,128,1,Nvidia," GeForce GTX 1050",windows,2.62,66547
100,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,AMD," Radeon 530",windows,1.91,38308
101,HP,Notebook,15.6,"full hd display",0,1920,1080,AMD,"E-Series E2-9000e",1.50,4,HDD,500,0,AMD," Radeon R2",windows,2.10,18595
102,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,HDD,1,0,AMD," Radeon 520",linux,2.20,34472
103,HP,Ultrabook,13.3,"ips display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,Nvidia," GeForce MX150",windows,1.38,59620
104,Microsoft,Ultrabook,13.5,"touchscreen display",1,2256,1504,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",windows,1.25,71395
105,HP,Notebook,14,"ips display",0,1920,1080,Intel,"Core i5",2.50,6,SSD,256,0,Nvidia," GeForce 940MX",windows,1.58,35112
106,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,HDD,1,0,Intel," HD Graphics 520",windows,1.85,22106
107,Asus,Ultrabook,14,"ips display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,Nvidia," GeForce 940MX",windows,1.30,63563
108,MSI,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,1,Nvidia," GeForce GTX 1050 Ti",windows,2.20,69211
109,Lenovo,Notebook,14,"ips display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,Intel," HD Graphics 620",windows,1.58,78854
110,Asus,Ultrabook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,Hybrid,256,1,Nvidia," GeForce MX150",windows,1.50,67239
111,Dell,Ultrabook,13.3,"quad display",1,3200,1800,Intel,"Core i7",2.40,8,SSD,256,0,Intel," Iris Plus Graphics 640",windows,1.23,73473
112,Lenovo,"2 in 1 Convertible",13.3,"ips display",1,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",windows,1.37,74539
113,HP,Notebook,14,"ips display",0,1366,768,Intel,"Core i5",1.60,4,HDD,500,0,Intel," UHD Graphics 620",windows,1.63,38468
114,Dell,Ultrabook,13.3,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.21,86793
116,HP,Notebook,14,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,512,0,Intel," UHD Graphics 620",windows,1.63,57756
117,Dell,Notebook,15.6,"ips display",0,1920,1080,Intel,"Core i7",1.80,8,Hybrid,256,1,Nvidia," GeForce 940MX",windows,2.16,60224
118,Asus,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,HDD,1,0,Nvidia," GeForce 920MX",windows,2.00,30050
119,Asus,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia," GeForce 940MX",windows,1.70,59567
120,Acer,Notebook,15.6,"ips display",1,1920,1080,Intel,"Core i3",2.40,6,HDD,1,0,Intel," HD Graphics 620",windows,2.10,25521
121,MSI,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,2,Nvidia," GeForce GTX 1070",windows,1.80,119427
122,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Nvidia," GeForce 940MX",N/A,2.20,33513
123,HP,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,SSD,512,0,Nvidia," GeForce 930MX ",windows,2.50,67719
124,Acer,Notebook,15.6,N/A,0,1366,768,AMD,"A9-Series 9420",3.00,4,SSD,256,0,AMD," Radeon R5",windows,2.10,24029
126,HP,Notebook,14,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,HDD,1,0,Intel," UHD Graphics 620",windows,1.63,43263
127,Asus,Notebook,14,N/A,0,1366,768,AMD,"E-Series 6110",1.50,4,SSD,64,0,AMD," Radeon R2",windows,1.65,14811
128,Dell,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,Hybrid,256,2,AMD," Radeon 530",windows,2.80,74379
129,HP,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,2.50,49444
130,Dell,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,8,HDD,1,0,AMD," Radeon R7 M445",windows,2.36,34045
131,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,HDD,1,0,AMD," Radeon R5 M430",windows,2.20,23923
132,Acer,Ultrabook,14,"ips display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.60,47100
133,Acer,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.70,4,SSD,256,0,Nvidia," GeForce MX130",windows,7.20,30476
134,HP,Notebook,15.6,N/A,0,1366,768,Intel,"Core i7",2.70,8,HDD,1,0,Intel," HD Graphics 620",windows,2.05,31861
135,HP,Notebook,14,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.63,52641
136,Lenovo,Notebook,15.6,N/A,0,1366,768,Intel,"Celeron Dual",1.10,4,HDD,1,0,Intel," HD Graphics 500",N/A,1.90,13446
137,Asus,Gaming,17.3,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,Hybrid,128,1,Nvidia," GeForce GTX 1050",windows,3.00,49977
138,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,4,HDD,1,0,Nvidia," GeForce 920MX",N/A,2.20,26587
139,HP,Notebook,13.3,"ips display",0,1920,1080,Intel,"Core i5",2.50,4,SSD,256,0,Intel," HD Graphics 620",windows,1.32,37243
140,Acer,Notebook,17.3,"ips display",0,1920,1080,Intel,"Core i3",2.70,4,HDD,1,0,Nvidia," GeForce MX130",windows,3.00,34898
141,Lenovo,Notebook,14,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,AMD," Radeon RX 550",windows,1.75,59462
142,Lenovo,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,8,SSD,256,0,Nvidia," GeForce GTX 1050M",N/A,2.40,46300
143,Toshiba,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.30,4,HDD,500,0,Intel," HD Graphics 520",windows,2.10,32075
144,HP,Notebook,15.6,N/A,0,1366,768,AMD,"A6-Series 9220",2.50,4,SSD,256,0,AMD," Radeon R4 Graphics",windows,1.86,19660
145,Asus,Ultrabook,14,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.25,58555
146,HP,Ultrabook,12.5,"ips display",1,3840,2160,Intel,"Core M",1.20,8,SSD,512,0,Intel," HD Graphics 515",windows,0.97,107306
147,Asus,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Celeron Dual",1.10,4,HDD,1,0,Intel," HD Graphics 500",windows,2.00,18328
149,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.00,4,HDD,1,0,Intel," HD Graphics 520",windows,2.10,23816
150,Dell,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia," GeForce GTX 1050",windows,2.56,66561
151,Dell,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,8,Hybrid,1,0,Nvidia," GeForce GTX 1050",windows,2.62,47899
152,Lenovo,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,4,SSD,128,0,Intel," HD Graphics 620",windows,1.90,26533
153,MSI,Gaming,17.3,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,1,Nvidia," GeForce GTX 1060",windows,2.80,100699
154,HP,Ultrabook,14,"full hd display",0,1920,1080,Intel,"Core i5",2.70,4,SSD,256,0,Intel," HD Graphics 620",windows,1.48,57649
155,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",1.60,6,SSD,256,0,AMD," Radeon 520",windows,1.91,32980
156,Lenovo,"2 in 1 Convertible",14,"ips display",1,1920,1080,Intel,"Core i3",2.40,4,SSD,256,0,Intel," HD Graphics 620",windows,1.74,33513
157,Asus,"2 in 1 Convertible",13.3,"full hd display",1,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," HD Graphics 620",windows,1.10,70063
158,Dell,"2 in 1 Convertible",15.6,"full hd display",1,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.56,55891
159,Toshiba,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.20,4,HDD,500,0,Intel," HD Graphics 520",windows,2.10,23816
160,Asus,Notebook,15.6,N/A,0,1366,768,AMD,"A9-Series 9420",3.00,4,HDD,1,0,AMD," Radeon R5 M420",windows,2.03,21472
161,Acer,Notebook,17.3,"ips display",0,1920,1080,Intel,"Core i5",1.60,4,SSD,256,0,Nvidia," GeForce MX150",windows,3.00,42890
162,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,AMD," Radeon 520",windows,2.13,38788
163,Lenovo,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,16,SSD,256,0,Nvidia," GeForce GTX 1050 Ti",windows,2.50,57489
164,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Celeron Dual",1.10,4,HDD,1,0,Intel," HD Graphics 500",windows,2.10,18541
165,MSI,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,1,Nvidia," GeForce GTX 1060",windows,2.40,95851
166,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Pentium Quad",1.10,4,HDD,1,0,Intel," HD Graphics 505",windows,2.10,19368
167,Dell,Gaming,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,8,Hybrid,128,1,Nvidia," GeForce GTX 1050",windows,2.56,56503
168,Acer,Notebook,17.3,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia," GeForce MX150",windows,3.00,45501
169,HP,Notebook,13.3,"ips display",0,1920,1080,Intel,"Core i5",1.60,4,HDD,500,0,Intel," UHD Graphics 620",windows,1.49,40173
170,Huawei,Ultrabook,13,"ips display",0,2160,1440,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",windows,1.05,71875
171,HP,Notebook,17.3,"ips display",0,1920,1080,Intel,"Core i5",2.50,6,HDD,2,0,AMD," Radeon 520",windows,2.71,37243
172,Lenovo,Notebook,15.6,N/A,0,1366,768,AMD,"A6-Series 9220",2.90,4,HDD,500,0,AMD," Radeon R4 Graphics",N/A,2.20,16464
173,Toshiba,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.40,4,HDD,500,0,Intel," HD Graphics 620",windows,5.40,26054
174,HP,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia," GeForce 930MX",windows,2.50,49177
175,Dell,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.40,8,HDD,1,0,Intel," HD Graphics 620",windows,2.30,24456
176,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.00,4,SSD,128,0,Intel," HD Graphics 520",windows,2.10,23923
177,MSI,Gaming,18.4,"full hd display",0,1920,1080,Intel,"Core i7",2.90,32,Hybrid,512,1,Nvidia," GTX 980 SLI",windows,4.40,149131
178,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,Hybrid,128,1,AMD," R17M-M1-70",windows,1.90,43317
179,HP,"2 in 1 Convertible",13.3,"ips display",1,3840,2160,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.29,79867
180,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,Hybrid,256,2,AMD," Radeon 530",linux,2.02,55891
181,Dell,Ultrabook,13.3,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.23,74539
182,Lenovo,"2 in 1 Convertible",13.9,"ips display",1,3840,2160,Intel,"Core i7",1.80,16,SSD,512,0,Intel," UHD Graphics 620",windows,1.40,98515
